policy,net_profit,revenue,imbalance_cost,degradation_cost,total_reward,delivered,committed,pv_produced,delivery_ratio,battery_cycles,hours,n_episodes
Conservative (80%),3895.038075317809,20510.116678851533,16615.078603533726,0.2010452339805231,3894.8370300900883,171.9654106951986,151.51145965709762,168.286608,1.173829424090733,1.0052261699026155,48.0,10.0
Aggressive (100%),-4132.4872622385055,20836.473916714658,24968.961178953166,0.46900413336787594,-4132.956266354291,171.3280819477513,189.38932174925122,168.286608,0.9352109669247305,2.3450206668393796,48.0,10.0
Price-Aware,885.2019830946853,20770.018001757486,19884.816018662805,0.5424108572289607,884.6595722541446,171.02222059833008,136.47309228214812,168.286608,1.3184817889942795,2.712054286144803,48.0,10.0
